Input order,Input size,Algorithm,Running time,Comparisons
Nearly sorted data,50000,heap-sort,7759,3925091
Nearly sorted data,50000,merge-sort,8082,2603388
Nearly sorted data,50000,quick-sort,3088,2201008
Nearly sorted data,50000,counting-sort,525,300003
Nearly sorted data,50000,radix-sort,3444,850071
Nearly sorted data,50000,flash-sort,1184,592978
Sorted data,1000,bubble-sort,913,1000999
Sorted data,1000,insertion-sort,3,2998
Sorted data,1000,selection-sort,1052,1000999
Sorted data,1000,shaker-sort,3,2001
Sorted data,1000,shell-sort,21,24037
Sorted data,1000,heap-sort,101,49708
Sorted data,1000,merge-sort,137,34924
Sorted data,1000,quick-sort,49,25455
Sorted data,1000,counting-sort,20,6003
Sorted data,1000,radix-sort,45,11043
Sorted data,1000,flash-sort,23,11863
Sorted data,3000,bubble-sort,8328,9002999
Sorted data,3000,insertion-sort,8,8998
Sorted data,3000,selection-sort,9204,9002999
Sorted data,3000,shaker-sort,7,6001
Sorted data,3000,shell-sort,76,90044
Sorted data,3000,heap-sort,353,174632
Sorted data,3000,merge-sort,403,119708
Sorted data,3000,quick-sort,153,93832
Sorted data,3000,counting-sort,51,18003
Sorted data,3000,radix-sort,160,42057
Sorted data,3000,flash-sort,69,35583
Sorted data,5000,bubble-sort,23492,25004999
Sorted data,5000,insertion-sort,12,14998
Sorted data,5000,selection-sort,26464,25004999
Sorted data,5000,shaker-sort,11,10001
Sorted data,5000,shell-sort,249,165040
Sorted data,5000,heap-sort,623,309923
Sorted data,5000,merge-sort,768,210420
Sorted data,5000,quick-sort,277,164104
Sorted data,5000,counting-sort,63,30003
Sorted data,5000,radix-sort,299,70057
Sorted data,5000,flash-sort,111,59303
Sorted data,10000,bubble-sort,96795,100009999
Sorted data,10000,insertion-sort,25,29998
Sorted data,10000,selection-sort,103128,100009999
Sorted data,10000,shaker-sort,21,20001
Sorted data,10000,shell-sort,307,360042
Sorted data,10000,heap-sort,1263,670329
Sorted data,10000,merge-sort,1542,450844
Sorted data,10000,quick-sort,610,350973
Sorted data,10000,counting-sort,120,60003
Sorted data,10000,radix-sort,589,140057
Sorted data,10000,flash-sort,220,118603
Sorted data,30000,bubble-sort,860957,900029999
Sorted data,30000,insertion-sort,73,89998
Sorted data,30000,selection-sort,1.03247e+06,900029999
Sorted data,30000,shaker-sort,68,60001
Sorted data,30000,shell-sort,1095,1170050
Sorted data,30000,heap-sort,5911,2236648
Sorted data,30000,merge-sort,5230,1491692
Sorted data,30000,quick-sort,2237,1188405
Sorted data,30000,counting-sort,387,180003
Sorted data,30000,radix-sort,2211,510071
Sorted data,30000,flash-sort,757,355803
Sorted data,50000,bubble-sort,2.39172e+06,2500049999
Sorted data,50000,insertion-sort,123,149998
Sorted data,50000,selection-sort,2.64993e+06,2500049999
Sorted data,50000,shaker-sort,103,100001
Sorted data,50000,shell-sort,1768,2100049
Sorted data,50000,heap-sort,7943,3925351
Sorted data,50000,merge-sort,8002,2603388
Sorted data,50000,quick-sort,3261,2163105
Sorted data,50000,counting-sort,739,300003
Sorted data,50000,radix-sort,3761,850071
Sorted data,50000,flash-sort,1367,593003
Reverse data,1000,bubble-sort,2921,1000999
